"OBJECTID","Range_Id","Local_pop","LABEL","LABEL2","PROV_TERR","Risk_Assessment","Range_Type","Population","Pop_Trend","DH_Fire","DH_Anthro","DH_Total","Shape_STArea__","Shape_STLength__","Shape_Length","Shape_Area"
"1","AB1","Chinchaga (incl. BC portion)","CHI","Chinchaga (CHI)","AB","RNSS, very unlikely","LP","250","declining","8","74","76","4.73502837753995","15.0427598111465","15.0427598111464","4.73502837753743"
"2","AB8","Richardson","RIC","Richardson (RIC)","AB","RNSS, very unlikely","LP","150","not available","67","22","82","1.06739270214985","7.22234413953112","7.22234413953112","1.06739270215356"
"3","AB12","Slave Lake","SLA","Slave Lake (SLA)","ABAB","RNSS, very unlikely","LP","65","not available","37","63","80","0.213529223577098","3.77519151768597","3.77519151768597","0.213529223578857"
"4","AB11","Nipisi","NIP","Nipisi (NIP)","AB","RNSS, unlikely","LP","55","not available","6","66","68","0.302182813126819","3.03202431205884","3.03202431205884","0.302182813131759"
"5","AB6","Red Earth","REA","Red Earth (REA)","AB","RNSS, very unlikely","LP","172-206","declining","30","44","62","3.7074838129306","15.1233747769415","15.1233747769415","3.70748381292674"
"6","AB10","Cold Lake","CLA","Cold Lake (CLA)","AB","RNSS, very unlikely","LP","150","declining","32","72","85","0.948688611756097","7.77115519855264","7.77115519855265","0.94868861176189"
"7","AB9","East Side Athabasca River","ESA","East Side Athabasca River (ESA)","AB","RNSS, very unlikely","LP","90-150","declining","26","77","81","1.89296503632113","26.8959063245822","26.8959063245823","1.8929650362998"
"8","AB4","Caribou Mountains","CMO","Caribou Mountains (CMO)","AB","RNSS, very unlikely","LP","315-394","declining","44","23","57","3.24870854530309","13.1857858704901","13.1857858704901","3.24870854530456"
"9","AB7","West Side Athabasca River","WSA","West Side Athabasca River (WSA)","AB","RNSS, very unlikely","LP","204-272","declining","4","68","69","2.29370171007849","17.6761040149685","17.6761040149684","2.29370171010622"
"10","AB5","Little Smoky","LSM","Little Smoky (LSM)","AB","RNSS, very unlikely","LP","78","declining","0.2","95","95","0.424307806509205","3.47835588317117","3.47835588317117","0.424307806510951"
"11","AB3","Yates","YAT","Yates (YAT)","AB","RNSS, unlikely","LP","350","stable","43","21","61","0.835041338524661","6.25765431330076","6.25765431330076","0.835041338528697"
"12","AB2","Bistcho","BIS","Bistcho (BIS)","AB","RNSS, very unlikely","LP","195","declining","20","61","71","2.28190936949431","7.68419510892783","7.68419510892783","2.28190936948776"
"13","MB12","Atikaki-Berens","ABE","Atikaki-Bernes (ABE)","MB","RNSS/RSS, as likely as not","ICU","300-500","stable","31","6","35","3.13144124842711","8.53073374593704","8.53073374593703","3.13144124842657"
"14","BC2","Calendar","CAL","Calendar (CAL)","BC","RNSS, unlikely","LP","290","not available","8","58","61","0.792979905389529","5.30375276080779","5.30375276080778","0.792979905396945"
"15","QC2","Charlevoix","CHA","Charlevoix (CHA)","QC","RNSS, very unlikely","LP","75","stable","4","77","80","0.374538743070389","2.44844193842026","2.44844193842026","0.374538743070515"
"16","MB2","Kississing","KIS","Kississing (KIS)","MB","RNSS, unlikely","ICU","50-75","stable","39","13","51","0.448369071004436","2.68345214330381","2.68345214330381","0.448369071004764"
"17","NL1","Lac Joseph","LJO","Lac Joseph (LJO)","LAB","RNSS/RSS, as likely as not","LP","1282","declining","7","1","8","7.6541854780919","10.622173699013","10.622173699013","7.65418547809179"
"18","QC5","Manicouagan","MAG","Manicougan (MAG)","QC","RSS, likely","ICU","181","increasing","3","32","33","1.44134078573006","4.52408149039035","4.52408149039035","1.44134078573021"
"19","QC4","Manouane","MAO","Manouane (MAO)","QC","RNSS/RSS, as likely as not","ICU","358","stable","18","23","39","3.46372679214551","7.10524298660537","7.10524298660537","3.46372679214526"
"20","BC1","Maxhamish","MAX","Maxhamish (MAX)","BC","RNSS, unlikely","LP","300","not available","0.5","57","58","1.12977779696166","7.60259647248268","7.60259647248269","1.12977779696825"
"21","NL3","Mealy Mountain","MMO","Mealy Mountain (MMO)","LAB","RNSS/RSS, as likely as not","LP","1604","declining","0.4","1","2","5.33163994745701","10.5412202333694","10.5412202333694","5.33163994745737"
"22","MB3","Naosap","NAO","Naosap (NAO)","MB","RNSS, unlikely","ICU","100-200","stable","28","26","50","0.63778822365839","3.11783081038146","3.11783081038146","0.637788223657869"
"23","MB5","North Interlake","NIN","North Interlake (NIN)","MB","RNSS/RSS, as likely as not","ICU","50-75","stable","4","14","17","0.651384939002583","4.44022715020324","4.44022715020325","0.65138493900222"
